model,context,layer,target_id,target_text,rank_target_tangent,rank_wrong_tangent,rank_random_tangent,rank_offarc_random,rank_offarc_toward,rank_offarc_away,first_rank1_angle
EleutherAI/pythia-160m,The capital of France is,4,1525,99,2668,18871,18425,2049,19518,60,
EleutherAI/pythia-160m,The capital of France is,4,1546,ural,906,24385,37790,1393,22912,1,
EleutherAI/pythia-160m,The capital of France is,4,1592,fer,1498,28942,26521,1686,24936,2,
EleutherAI/pythia-160m,The capital of France is,4,1603,}(,7287,32925,28024,7718,32405,202,
EleutherAI/pythia-160m,The capital of France is,4,1710,gram,1960,29254,34666,2051,26821,3,
EleutherAI/pythia-160m,The capital of France is,4,1740, four,16,606,1222,26,937,2,
EleutherAI/pythia-160m,The capital of France is,4,1751,ene,1321,28020,37190,1771,26127,1,
EleutherAI/pythia-160m,The capital of France is,4,1768,bs,5219,38441,43839,5192,33466,74,
EleutherAI/pythia-160m,The capital of France is,4,1779,Ch,15388,35903,43593,16815,38264,1556,
EleutherAI/pythia-160m,The capital of France is,4,1788,lection,6764,40362,42207,7243,38919,44,
EleutherAI/pythia-160m,The capital of France is,4,1813,icro,1626,28573,27770,1590,26854,2,
EleutherAI/pythia-160m,The capital of France is,7,60,[,334,20428,22335,385,17189,1,
EleutherAI/pythia-160m,The capital of France is,7,75,j,11750,36550,41731,8828,35248,376,
EleutherAI/pythia-160m,The capital of France is,7,80,o,1561,29882,36289,1148,26563,1,
EleutherAI/pythia-160m,The capital of France is,7,81,p,1589,25110,26237,1313,23647,1,
EleutherAI/pythia-160m,The capital of France is,7,264,ed,1223,36724,44326,1102,30574,1,
EleutherAI/pythia-160m,The capital of France is,7,268, p,401,9968,13899,297,9042,1,
EleutherAI/pythia-160m,The capital of France is,7,270, b,312,7494,11066,345,6307,2,
EleutherAI/pythia-160m,The capital of France is,7,324,ad,387,22169,24826,327,18284,1,
EleutherAI/pythia-160m,The capital of France is,7,351,od,5,4627,6386,6,4863,1,
EleutherAI/pythia-160m,The capital of France is,7,359, we,1273,21066,23703,1183,18758,5,
EleutherAI/pythia-160m,The capital of France is,7,369, was,703,10837,15431,949,10472,6,
EleutherAI/pythia-160m,The capital of France is,7,389, com,1,830,1847,1,447,1,15.192082405090332
EleutherAI/pythia-160m,The capital of France is,7,398,ers,487,27982,32960,362,24883,1,
EleutherAI/pythia-160m,The capital of France is,7,416, R,327,6278,10976,350,8818,1,
EleutherAI/pythia-160m,The capital of France is,7,419, ha,61,5607,10021,58,4571,1,
EleutherAI/pythia-160m,The capital of France is,7,451,ial,5801,43000,47986,5009,37151,8,
EleutherAI/pythia-160m,The capital of France is,7,494,able,655,33678,40585,439,27003,1,
EleutherAI/pythia-160m,The capital of France is,7,495, 3,290,5169,6565,531,4998,4,
EleutherAI/pythia-160m,The capital of France is,7,528,ous,632,28949,32765,531,24758,1,
EleutherAI/pythia-160m,The capital of France is,7,598, up,16,5217,3511,22,3136,1,
EleutherAI/pythia-160m,The capital of France is,7,606,ang,8112,41292,38111,9096,37257,33,
EleutherAI/pythia-160m,The capital of France is,7,609,are,3722,32537,38721,4178,30758,5,
EleutherAI/pythia-160m,The capital of France is,7,684,ates,3550,36863,41093,2190,31650,5,
EleutherAI/pythia-160m,The capital of France is,7,695,ric,2611,32539,37960,2420,31305,1,
EleutherAI/pythia-160m,The capital of France is,7,720,ject,5976,40270,47049,4299,36299,4,
EleutherAI/pythia-160m,The capital of France is,7,723,ings,12901,48331,50218,13461,45788,9,
EleutherAI/pythia-160m,The capital of France is,7,778, may,302,8057,10498,289,6793,1,
EleutherAI/pythia-160m,The capital of France is,7,807, year,3,3020,3516,2,2285,1,
EleutherAI/pythia-160m,The capital of France is,7,864,hen,1650,31691,32872,2062,27247,1,
EleutherAI/pythia-160m,The capital of France is,7,883,11,10053,26870,28958,10526,28020,997,
EleutherAI/pythia-160m,The capital of France is,7,888,ident,8997,37460,43615,7787,36709,72,
EleutherAI/pythia-160m,The capital of France is,7,896, back,1,1520,5269,2,1171,1,15.345242500305176
EleutherAI/pythia-160m,The capital of France is,7,927, includ,852,18061,13139,751,15316,2,
EleutherAI/pythia-160m,The capital of France is,7,977,other,3427,34532,37339,3514,30922,6,
EleutherAI/pythia-160m,The capital of France is,7,1002, produ,1736,16856,22407,1653,17482,20,
EleutherAI/pythia-160m,The capital of France is,7,1052, 200,780,7073,7631,695,8386,23,
EleutherAI/pythia-160m,The capital of France is,7,1077, very,1,159,940,1,91,1,13.267293930053711
EleutherAI/pythia-160m,The capital of France is,7,1080,ator,495,23757,32219,638,20764,1,
EleutherAI/pythia-160m,The capital of France is,7,1104,ients,22922,48293,50066,24234,47437,246,
EleutherAI/pythia-160m,The capital of France is,7,1123,ave,3008,35497,39971,3534,31868,2,
EleutherAI/pythia-160m,The capital of France is,7,1138,""">",11370,35188,45170,10671,35033,260,
EleutherAI/pythia-160m,The capital of France is,7,1140, tra,4,2199,3790,4,1296,1,
EleutherAI/pythia-160m,The capital of France is,7,1149, gu,1,541,881,1,518,1,14.979301452636719
EleutherAI/pythia-160m,The capital of France is,7,1185, dire,1147,23452,28679,1326,17854,4,
EleutherAI/pythia-160m,The capital of France is,7,1219, Al,82,4686,10609,97,3934,1,
EleutherAI/pythia-160m,The capital of France is,7,1223, while,146,14834,18998,155,9132,1,
EleutherAI/pythia-160m,The capital of France is,7,1239, read,3,3543,8744,5,2493,1,
EleutherAI/pythia-160m,The capital of France is,7,1251,ng,10790,42514,46252,10072,39100,86,
EleutherAI/pythia-160m,The capital of France is,7,1427,ulation,6203,35405,37955,7487,34387,17,
EleutherAI/pythia-160m,The capital of France is,7,1434,acter,3338,37662,34697,3845,33770,2,
EleutherAI/pythia-160m,The capital of France is,7,1450,::,218,25846,21597,287,18617,1,
EleutherAI/pythia-160m,The capital of France is,7,1453, control,2,3826,3933,1,2270,1,
EleutherAI/pythia-160m,The capital of France is,7,1460, pur,1,891,1545,1,533,1,15.229641914367676
EleutherAI/pythia-160m,The capital of France is,7,1525,99,6627,27751,29505,6945,27961,190,
EleutherAI/pythia-160m,The capital of France is,7,1546,ural,1463,30349,39349,2034,28714,1,
