model,context,layer,target_id,target_text,rank1_target,rank1_wrong,rank1_random,top3,top5,top10,rank,margin,rel_margin,win_window_deg,entry_deg,no_worse_frac,voronoi_break,bias_break,nn5_angle
EleutherAI/pythia-160m,The capital of France is,0,1138,""">",False,False,False,False,False,False,1495.0,-0.09575581550598145,-0.12056446820497513,0.0,34.457313537597656,1.0,True,False,0.272743284702301
EleutherAI/pythia-160m,The capital of France is,0,1140, tra,False,False,False,False,False,True,6.0,-0.020560741424560547,-0.02359514869749546,0.0,20.915725708007812,1.0,True,False,0.3225400149822235
EleutherAI/pythia-160m,The capital of France is,0,1149, gu,False,False,False,True,True,True,2.0,-0.01066523790359497,-0.012070081196725368,0.0,19.18904685974121,1.0,True,False,0.3187485933303833
EleutherAI/pythia-160m,The capital of France is,0,1185, dire,False,False,False,False,False,False,2716.0,-0.10296207666397095,-0.13146355748176575,0.0,33.69611740112305,1.0,True,False,0.3393056392669678
EleutherAI/pythia-160m,The capital of France is,0,1219, Al,False,False,False,False,False,False,143.0,-0.058312416076660156,-0.06944101303815842,0.0,29.735822677612305,1.0,True,False,0.2817581295967102
EleutherAI/pythia-160m,The capital of France is,0,1223, while,False,False,False,False,False,False,103.0,-0.04677295684814453,-0.056072596460580826,0.0,24.531293869018555,1.0,True,False,0.2684856355190277
EleutherAI/pythia-160m,The capital of France is,0,1239, read,False,False,False,True,True,True,2.0,-0.010097086429595947,-0.011406173929572105,0.0,18.818946838378906,1.0,True,False,0.2907528579235077
EleutherAI/pythia-160m,The capital of France is,0,1251,ng,False,False,False,False,False,False,1427.0,-0.10207545757293701,-0.12999458611011505,0.0,32.87870788574219,1.0,True,False,0.3534139096736908
EleutherAI/pythia-160m,The capital of France is,0,1427,ulation,False,False,False,False,False,False,359.0,-0.07155704498291016,-0.08856182545423508,0.0,28.37549591064453,1.0,True,False,0.27753791213035583
EleutherAI/pythia-160m,The capital of France is,0,1434,acter,False,False,False,False,False,False,343.0,-0.06955868005752563,-0.08682425320148468,0.0,27.484277725219727,1.0,True,False,0.34446418285369873
EleutherAI/pythia-160m,The capital of France is,0,1450,::,False,False,False,False,False,False,29.0,-0.042382240295410156,-0.05080598220229149,0.0,22.96579360961914,1.0,True,False,0.3603542149066925
