model,theta_cell,theta_author,phi
Qwen2-1.5B-Instruct,8.776351928710938,,48.8089599609375
Qwen2-1.5B-Instruct,6.034196853637695,6.872119701327459,52.567203521728516
Qwen2-1.5B-Instruct,6.731349945068359,7.500900086129663,52.4889030456543
Qwen2-1.5B-Instruct,5.895081043243408,6.6216225135172415,52.68332290649414
Qwen2-1.5B-Instruct,8.196590423583984,9.113466768034653,52.452083587646484
Qwen2-1.5B-Instruct,7.670713901519775,8.405223962428522,52.698848724365234
Qwen2-1.5B-Instruct,5.3606696128845215,6.003340129469347,51.604774475097656
Qwen2-1.5B-Instruct,7.62326192855835,9.029045629893297,52.19124221801758
Qwen2-1.5B-Instruct,5.3199028968811035,6.050044963013894,52.93899154663086
Qwen2-1.5B-Instruct,5.397027969360352,6.0510490008218865,52.996543884277344
Qwen2-1.5B-Instruct,5.235774517059326,6.2455249770596595,50.91401672363281
Qwen2-1.5B-Instruct,7.046619892120361,8.421602756058212,50.83295440673828
Qwen2-1.5B-Instruct,8.119723320007324,9.323863915227726,51.54841995239258
Qwen2-1.5B-Instruct,6.403278350830078,7.907439775717992,50.104270935058594
Qwen2-1.5B-Instruct,7.079586982727051,8.07767541059139,52.08015823364258
Qwen2-1.5B-Instruct,10.147997856140137,11.862938927855776,51.00870895385742
Qwen2-1.5B-Instruct,5.686237335205078,6.976334727683514,50.240169525146484
Qwen2-1.5B-Instruct,8.273411750793457,9.739323831872092,51.54283905029297
Qwen2-1.5B-Instruct,8.190791130065918,9.4430165652986,51.86684036254883
Qwen2-1.5B-Instruct,6.200078010559082,7.669209607657117,50.29283142089844
Qwen2-1.5B-Instruct,6.740638256072998,8.836222559434665,48.72300720214844
Qwen2-1.5B-Instruct,6.799071311950684,7.7222391963730965,52.29930877685547
Qwen2-1.5B-Instruct,10.018516540527344,11.367791194164871,51.519866943359375
Qwen2-1.5B-Instruct,7.942998886108398,9.428324828393901,50.552547454833984
Qwen2-1.5B-Instruct,9.320255279541016,10.436078259294263,51.94437789916992
Qwen2-1.5B-Instruct,6.305028915405273,16.752664524478735,40.32463455200195
Qwen2-1.5B-Instruct,6.064431667327881,6.7746733924388876,53.061065673828125
Qwen2-1.5B-Instruct,6.7652082443237305,7.590860507687901,52.74428939819336
Qwen2-1.5B-Instruct,8.08958911895752,11.567895246278736,50.31730270385742
Qwen2-1.5B-Instruct,8.400599479675293,9.656364354213117,51.85331726074219
Qwen2-1.5B-Instruct,7.32305908203125,8.542066802449726,50.791534423828125
Qwen2-1.5B-Instruct,7.349215984344482,8.483566232208567,51.33211135864258
Qwen2-1.5B-Instruct,5.058962821960449,5.788769736693397,52.39968490600586
Qwen2-1.5B-Instruct,6.955899238586426,9.48690053071593,50.4198112487793
Qwen2-1.5B-Instruct,7.270599842071533,8.123649413894746,52.54587936401367
Qwen2-1.5B-Instruct,5.488015651702881,6.104140061240395,53.172271728515625
Qwen2-1.5B-Instruct,5.203679084777832,6.136521988095426,51.392330169677734
Qwen2-1.5B-Instruct,5.810316562652588,6.694384518745387,52.41263198852539
Qwen2-1.5B-Instruct,6.343471527099609,7.036904845243187,53.11854934692383
Qwen2-1.5B-Instruct,6.623445510864258,7.9763768750109305,51.099639892578125
Qwen2-1.5B-Instruct,8.458351135253906,10.834817872850437,51.18891906738281
Qwen2-1.5B-Instruct,6.479321002960205,7.0981579817198615,53.26008605957031
Qwen2-1.5B-Instruct,8.357383728027344,9.73814220914568,51.314605712890625
Qwen2-1.5B-Instruct,7.391252517700195,9.130822278715655,49.921443939208984
Qwen2-1.5B-Instruct,5.978353977203369,6.830769736092202,52.08439636230469
Qwen2-1.5B-Instruct,8.181293487548828,9.469968491763469,51.334564208984375
Qwen2-1.5B-Instruct,6.666798114776611,7.137602324176685,53.8226203918457
Qwen2-1.5B-Instruct,4.278877258300781,4.9495512235631,51.76638412475586
Qwen2-1.5B-Instruct,9.33390998840332,,48.610618591308594
Qwen2-1.5B-Instruct,6.552900314331055,7.6050741313506975,51.81828689575195
Qwen2-1.5B-Instruct,7.589048862457275,8.769218403676842,51.854835510253906
Qwen2-1.5B-Instruct,5.227534770965576,6.041814585064029,52.11259460449219
Qwen2-1.5B-Instruct,8.860268592834473,10.288532512843647,51.71443176269531
Qwen2-1.5B-Instruct,7.251984119415283,8.503592346855045,51.52882766723633
Qwen2-1.5B-Instruct,5.688305377960205,6.881524871814567,50.62448501586914
Qwen2-1.5B-Instruct,8.453428268432617,9.548850346487946,51.45907974243164
Qwen2-0.5B-Instruct,8.558894157409668,10.315798628010338,50.22765350341797
Qwen2-0.5B-Instruct,8.548676490783691,10.824033004150987,49.172996520996094
Qwen2-0.5B-Instruct,6.962128639221191,8.652101149978632,49.19102096557617
Qwen2-0.5B-Instruct,7.670713901519775,9.855170670384679,48.22731399536133
Qwen2-0.5B-Instruct,10.80578327178955,14.335720124399682,47.56277084350586
Qwen2-0.5B-Instruct,9.287957191467285,11.910183346344754,48.05160903930664
Qwen2-0.5B-Instruct,7.625295162200928,9.977834037688938,48.191001892089844
Qwen2-0.5B-Instruct,8.99693489074707,12.048856677063524,46.95783996582031
Qwen2-0.5B-Instruct,8.031379699707031,9.653065372844,49.241119384765625
Qwen2-0.5B-Instruct,9.354711532592773,11.117314496922164,48.841148376464844
Qwen2-0.5B-Instruct,9.014999389648438,10.802545229022126,49.17278289794922
