model,context,layer,target_id,target_text,rank1_target,rank1_wrong,rank1_random,top3,top5,top10,rank,margin,rel_margin,win_window_deg,entry_deg,no_worse_frac,voronoi_break,bias_break,nn5_angle
EleutherAI/pythia-160m,The capital of France is,0,1740, four,True,False,False,True,True,True,1.0,0.025636672973632812,0.011529472656548023,23.062259674072266,21.937740325927734,1.0,True,False,0.15380823612213135
EleutherAI/pythia-160m,The capital of France is,0,1751,ene,True,False,False,True,True,True,1.0,0.1225590705871582,0.05563566833734512,18.70723533630371,26.29276466369629,1.0,True,False,0.36605939269065857
EleutherAI/pythia-160m,The capital of France is,0,1768,bs,True,False,False,True,True,True,1.0,0.07975244522094727,0.03695172816514969,10.919330596923828,34.08066940307617,1.0,True,False,0.3650358021259308
EleutherAI/pythia-160m,The capital of France is,0,1779,Ch,False,False,False,False,True,True,4.0,-0.007363319396972656,-0.003489531809464097,0.0,46.393943786621094,1.0,True,False,0.2731393277645111
EleutherAI/pythia-160m,The capital of France is,0,1788,lection,True,False,False,True,True,True,1.0,0.0814058780670166,0.037923045456409454,13.127462387084961,31.87253761291504,1.0,True,False,0.34281858801841736
EleutherAI/pythia-160m,The capital of France is,0,1813,icro,True,False,False,True,True,True,1.0,0.11431765556335449,0.05242612585425377,17.92986297607422,27.07013702392578,1.0,True,False,0.3526608645915985
EleutherAI/pythia-160m,The capital of France is,4,60,[,True,False,False,True,True,True,1.0,0.06126856803894043,0.027900395914912224,9.307662963867188,35.69233703613281,1.0,True,False,0.29876264929771423
EleutherAI/pythia-160m,The capital of France is,4,75,j,True,False,False,True,True,True,1.0,0.002069711685180664,0.0009614538867026567,0.3496818542480469,44.65031814575195,1.0,True,False,0.3013487458229065
EleutherAI/pythia-160m,The capital of France is,4,80,o,True,False,False,True,True,True,1.0,0.10124516487121582,0.045522578060626984,15.226530075073242,29.773469924926758,1.0,True,False,0.35200831294059753
EleutherAI/pythia-160m,The capital of France is,4,81,p,True,False,False,True,True,True,1.0,0.03465890884399414,0.015899738296866417,5.827739715576172,39.17226028442383,1.0,True,False,0.3245663642883301
EleutherAI/pythia-160m,The capital of France is,4,264,ed,True,False,False,True,True,True,1.0,0.0982511043548584,0.04473845288157463,11.058517456054688,33.94148254394531,1.0,True,False,0.3832164406776428
EleutherAI/pythia-160m,The capital of France is,4,268, p,True,False,False,True,True,True,1.0,0.03430771827697754,0.015635453164577484,6.32806396484375,38.67193603515625,1.0,True,False,0.2971888482570648
EleutherAI/pythia-160m,The capital of France is,4,270, b,True,False,False,True,True,True,1.0,0.03291749954223633,0.014919784851372242,8.467933654785156,36.532066345214844,1.0,True,False,0.2852404713630676
EleutherAI/pythia-160m,The capital of France is,4,324,ad,True,False,False,True,True,True,1.0,0.08519124984741211,0.0384395495057106,13.882661819458008,31.117338180541992,1.0,True,False,0.3336738049983978
EleutherAI/pythia-160m,The capital of France is,4,351,od,True,False,False,True,True,True,1.0,0.12651777267456055,0.05615006387233734,20.988128662109375,24.011871337890625,1.0,True,False,0.3438238501548767
EleutherAI/pythia-160m,The capital of France is,4,359, we,True,False,False,True,True,True,1.0,0.0468134880065918,0.021143244579434395,8.700366973876953,36.29963302612305,1.0,True,False,0.2921333611011505
EleutherAI/pythia-160m,The capital of France is,4,369, was,False,False,False,False,True,True,5.0,-0.011119365692138672,-0.005107923876494169,0.0,47.53504943847656,1.0,True,False,0.2522128224372864
EleutherAI/pythia-160m,The capital of France is,4,389, com,True,False,False,True,True,True,1.0,0.11612319946289062,0.05146411061286926,21.138959884643555,23.861040115356445,1.0,True,False,0.3241788446903229
EleutherAI/pythia-160m,The capital of France is,4,398,ers,True,False,False,True,True,True,1.0,0.12117195129394531,0.054378628730773926,15.309024810791016,29.690975189208984,1.0,True,False,0.3766348659992218
EleutherAI/pythia-160m,The capital of France is,4,416, R,True,False,False,True,True,True,1.0,0.01570916175842285,0.007215305231511593,2.910675048828125,42.089324951171875,1.0,True,False,0.2701759934425354
EleutherAI/pythia-160m,The capital of France is,4,419, ha,True,False,False,True,True,True,1.0,0.08038854598999023,0.03586411848664284,16.38178825378418,28.61821174621582,1.0,True,False,0.3277069330215454
EleutherAI/pythia-160m,The capital of France is,4,451,ial,True,False,False,True,True,True,1.0,0.10349369049072266,0.046609338372945786,15.050254821777344,29.949745178222656,1.0,True,False,0.3698815405368805
EleutherAI/pythia-160m,The capital of France is,4,494,able,True,False,False,True,True,True,1.0,0.07970213890075684,0.03602385148406029,12.782794952392578,32.21720504760742,1.0,True,False,0.35500040650367737
EleutherAI/pythia-160m,The capital of France is,4,495, 3,False,False,False,True,True,True,2.0,-0.001374959945678711,-0.0006275665946304798,0.0,45.63080596923828,1.0,True,False,0.1760614663362503
EleutherAI/pythia-160m,The capital of France is,4,528,ous,True,False,False,True,True,True,1.0,0.09418010711669922,0.04255165904760361,12.765640258789062,32.23435974121094,1.0,True,False,0.37491947412490845
EleutherAI/pythia-160m,The capital of France is,4,598, up,True,False,False,True,True,True,1.0,0.1256263256072998,0.05518723279237747,23.082345962524414,21.917654037475586,1.0,True,False,0.3034505844116211
EleutherAI/pythia-160m,The capital of France is,4,606,ang,True,False,False,True,True,True,1.0,0.09489226341247559,0.04287152364850044,14.32992935180664,30.67007064819336,1.0,True,False,0.34365829825401306
EleutherAI/pythia-160m,The capital of France is,4,609,are,True,False,False,True,True,True,1.0,0.09279584884643555,0.041757915169000626,14.829217910766602,30.1707820892334,1.0,True,False,0.32972580194473267
EleutherAI/pythia-160m,The capital of France is,4,684,ates,True,False,False,True,True,True,1.0,0.068817138671875,0.03131614625453949,11.604137420654297,33.3958625793457,1.0,True,False,0.3453785479068756
EleutherAI/pythia-160m,The capital of France is,4,695,ric,True,False,False,True,True,True,1.0,0.10952520370483398,0.04959678649902344,15.220724105834961,29.77927589416504,1.0,True,False,0.35293135046958923
EleutherAI/pythia-160m,The capital of France is,4,720,ject,True,False,False,True,True,True,1.0,0.06894850730895996,0.03158380463719368,10.527755737304688,34.47224426269531,1.0,True,False,0.3422251343727112
EleutherAI/pythia-160m,The capital of France is,4,723,ings,True,False,False,True,True,True,1.0,0.12403535842895508,0.056328970938920975,12.988304138183594,32.011695861816406,1.0,True,False,0.40382272005081177
EleutherAI/pythia-160m,The capital of France is,4,778, may,True,False,False,True,True,True,1.0,0.013426780700683594,0.006064296700060368,3.0126876831054688,41.98731231689453,1.0,True,False,0.2620701491832733
EleutherAI/pythia-160m,The capital of France is,4,807, year,True,False,False,True,True,True,1.0,0.10218095779418945,0.04491256922483444,25.21619987487793,19.78380012512207,1.0,True,False,0.26806432008743286
EleutherAI/pythia-160m,The capital of France is,4,864,hen,True,False,False,True,True,True,1.0,0.0695333480834961,0.03157859668135643,11.596240997314453,33.40375900268555,1.0,True,False,0.34600767493247986
EleutherAI/pythia-160m,The capital of France is,4,883,11,False,False,False,False,False,False,14.0,-0.030055761337280273,-0.013960191048681736,0.0,52.55855941772461,1.0,True,False,0.18946771323680878
EleutherAI/pythia-160m,The capital of France is,4,888,ident,True,False,False,True,True,True,1.0,0.0531766414642334,0.02448459342122078,8.43777084350586,36.56222915649414,1.0,True,False,0.3237609565258026
EleutherAI/pythia-160m,The capital of France is,4,896, back,True,False,False,True,True,True,1.0,0.14602923393249512,0.0632610023021698,29.790172576904297,15.209827423095703,1.0,True,False,0.28798651695251465
EleutherAI/pythia-160m,The capital of France is,4,927, includ,True,False,False,True,True,True,1.0,0.06261110305786133,0.028074152767658234,14.319684982299805,30.680315017700195,1.0,True,False,0.30799153447151184
